Channel_LID_IPTV,Name,Channel_ID,Prodaction_Status,Main_Source _Multicast,Streamer_IN_Multicast,Streamer_OUT
707,Nashe_Novoe_Kino_SRT_reserve,1107,NO,,227.145.1.79:7948,233.3.5.187:5187
750,EBS_HD,785,NO,,226.0.3.212:10212,233.3.3.21:3021
787,SILK_SPORT_3_HD_12MB,971,NO,,,233.3.5.88:5088
800,Jivi_SRT_reserve,626,NO,,225.0.7.134:10134,233.3.4.212:4212
812,Soyuz_tv,617,NO,,226.0.1.151:10151,233.3.4.203:4203
814,Spas,619,NO,,225.0.4.44:25059,233.3.4.205:4205
820,First_Channel_SD_DVB_T2,965,NO,,228.141.1.71:7107,233.3.4.238:4238
821,Obieqtivi_DVB_T2,338,NO,,228.141.1.71:7128,233.3.3.163:3163
822,Adjara_TV_SAT,627,NO,,228.142.1.73:7324,233.3.4.213:4213
825,TV_25_HD,926,NO,,237.7.7.145:17145,233.3.3.99:3099
828,Palitra_News_HD,633,NO,,237.7.7.137:10137,233.3.4.219:4219
845,cbc_azerbaijan_HD,205,NO,,226.0.1.156:40156,233.3.3.39:3039
848,Auto_Plus_SRT_reserve,731,NO,,225.0.7.115:10115,233.3.4.6:4006
852,Imedi_DVB_T2,878,NO,,228.141.1.71:7132,233.3.4.170:4170
857,1_CHANNEL_SAT_MPEG4,568,NO,,228.143.1.75:7510,233.3.4.137:4137
857,Nickelodeon_Global_HD_SRT,914,NO,,225.0.7.138:10138,233.3.5.160:5160
900,Adjara_TV_SAT,218,NO,,228.142.1.73:7324,233.3.3.52:3052
901,GDS_Satelit,682,NO,,228.141.1.71:7125,233.3.5.6:5006
902,test_drm,215,NO,,229.0.3.99:11099,233.3.3.49:3049
903,KinopremieraTVSD,905,NO,,225.0.7.133:10133,233.3.5.251:5251
905,RTI,664,NO,,226.0.1.174:10174,233.3.4.222:4222
906,24_TV,665,NO,,226.0.3.202:10202,233.3.4.223:4223
908,TGRT_Haber,432,NO,,226.0.3.203:10203,233.3.5.55:5055
909,TGRT_EU,433,NO,,226.0.3.203:10203,233.3.5.56:5056
910,TGRT_Belgesel,885,NO,,226.0.3.203:10203,233.3.3.75:3075
911,Power_Turk,740,NO,,226.0.3.204:10204,233.3.4.242:4242
912,Euro_star,907,NO,,226.0.3.205:10205,233.3.5.253:5253
913,Power_TV,330,NO,,226.0.3.204:10204,233.3.3.156:3156
914,360_TV,645,NO,,226.0.3.206:10206,233.3.4.178:4178
316,TRT_Muzik,306,YES,226.0.3.208:10208,226.0.3.208:10208,233.3.5.52:5052
322,TRT_Cocuk,332,YES,226.0.3.208:10208,226.0.3.208:10208,233.3.3.158:3158
317,TRT_Turk,445,YES,226.0.3.208:10208,226.0.3.208:10208,233.3.4.17:4017
319,TRT_Belgesel,286,YES,226.0.3.208:10208,226.0.3.208:10208,233.3.3.117:3117
919,TRT_HABER_HD,340,NO,,226.0.3.208:10208,233.3.3.165:3165
320,TRT_Spor,490,YES,226.0.3.208:10208,226.0.3.208:10208,233.3.4.62:4062
923,TRT_Kurdi_HD,671,NO,,226.0.3.208:10208,233.3.4.229:4229
924,TRT_World_HD,674,NO,,226.0.3.208:10208,233.3.4.232:4232
926,TRT_Arabic_HD,297,NO,,226.0.3.210:10210,233.3.4.96:4096
927,Ulke_TV_HD,548,NO,,226.0.3.211:10211,233.3.4.117:4117
304,ITV,484,YES,226.0.1.145:10145,226.0.1.145:10145,233.3.4.56:4056
930,Tsinandali_teleport,642,NO,,229.0.1.175:29175,233.3.4.175:4175
931,First_Channel_HD_DVB_T2,753,NO,,237.5.5.24:10024,233.3.3.6:3006
933,RTB_TV,854,NO,,226.0.3.212:10212,233.3.3.36:3036
934,TV_International ,855,NO,,226.0.3.212:10212,233.3.3.37:3037
935,TV_Congo,396,NO,,226.0.3.137:10137,233.3.3.216:3216
938,A_Spor_HD,372,NO,,226.0.5.104:20104,233.3.3.197:3197
321,TRT_2,491,YES,226.0.5.106:20106,226.0.5.106:20106,233.3.4.63:4063
942,Atv_Turq,638,NO,,226.0.5.104:20104,233.3.4.171:4171
944,New_teleport_test,609,NO,,225.0.4.200:5200,233.3.5.198:5198
951,Comedy_Arkhi_DVB_T2,728,NO,,237.5.5.32:10032,233.3.4.3:4003
959,First_Channel_Sport_DVB_T2,906,NO,,237.5.5.25:10025,233.3.5.252:5252
960,GDS_Satelit,780,NO,,226.0.1.166:10166,233.3.3.25:3025
962,AL_Jazeera,216,NO,,226.0.1.194:10194,233.3.3.50:3050
963,Ertsulovneba_DVB_T2,321,NO,,237.5.5.43:10043,233.3.3.147:3147
964,Channel_1_encoder,348,NO,,237.7.7.247:10247,233.3.3.174:3174
967,SILK_Universal_SD_Reserve,252,NO,,225.0.4.133:5133,233.3.3.86:3086
968,Mtavari_Arkhi_DVB_T2,418,NO,,237.5.5.37:10037,233.3.3.234:3234
969,Ewtn,857,NO,,226.0.2.42:21152,233.3.4.182:4182
970,Formula_DVB_T2,858,NO,,237.5.5.30:10030,233.3.4.250:4250
973,TV_Pirveli_DVB_T2,742,NO,,237.5.5.31:10031,233.3.4.244:4244
974,FORMULA_satelite,852,NO,,227.144.1.77:7716,233.3.3.74:3074
975,Indijskoe_kino_SRT_reserve,305,NO,,225.0.7.105:10105,233.3.5.51:5051
976,Silk_Universal_DVB_T2,349,NO,,237.5.5.39:10039,233.3.3.175:3175
977,SILK_SPORT_HD3_Reserve,455,NO,,225.0.4.130:5130,233.3.4.27:4027
978,Pos_TV_DVB_T2,336,NO,,237.5.5.41:10041,233.3.3.161:3161
980,SILK_Universal_HD_Reserve,902,NO,,237.7.7.4:27004,233.3.3.81:3081
982,Tsinandali,888,NO,,237.7.7.190:17190,233.3.5.61:5061
983,Kineko_HD,307,NO,,225.0.7.152:10152,233.3.5.53:5053
984,diarem_1,692,NO,,229.0.3.100:11100,233.3.5.16:5016
985,Space_tv_HD,874,NO,,226.0.1.171:10171,233.3.3.132:3132
986,Rustavi_2_DVB_T2,876,NO,,237.5.5.29:10029,233.3.5.60:5060
987,GDS_DVB_T2,877,NO,,237.5.5.28:10028,233.3.3.79:3079
988,Xazar_tv_HD,660,NO,,226.0.1.171:10171,233.3.4.192:4192
989,ARB24_HD,879,NO,,226.0.5.105:40105,233.3.4.252:4252
990,ARB_HD,666,NO,,226.0.5.105:40105,233.3.4.224:4224
991,Adjara_TV_DVB_T2,409,NO,,237.5.5.26:10026,233.3.3.226:3226
305,Kanal_5,277,YES,226.0.5.110:20110,226.0.5.110:20110,233.3.3.108:3108
993,ARB_Gunes_HD,646,NO,,226.0.5.110:20110,233.3.4.179:4179
995,TMB_TV_HD,412,NO,,226.0.2.41:11041,233.3.3.228:3228
997,Real_TV_HD,690,NO,,226.0.1.145:10145,233.3.5.14:5014
998,dunya _TV,856,NO,,226.0.1.145:10145,233.3.4.166:4166
389,TV1000_action,863,NO,,225.0.4.90:10090,233.3.3.48:3048
409,Viasat_History,1068,NO,,225.0.4.93:10093,233.3.3.219:3219
592,Viasat_Sport,607,NO,,225.0.4.95:10095,233.3.4.196:4196
806,Viasat_Nature,611,NO,,225.0.4.94:10094,233.3.4.253:4253
904,Viasat_Explorer,908,NO,,225.0.4.92:10092,233.3.5.254:5254
920,TV_1000,219,NO,,225.0.4.91:10091,233.3.3.53:3053
971,TV_1000_Russkaia_Kino,304,NO,,225.0.4.89:10089,233.3.5.50:5050
623,drm_test_-_srt_test,710,NO,,225.0.7.160:10160,233.3.5.34:5034
315,BLOOMBERG_HT,999,YES,226.0.3.136:10136,226.0.3.125:40125,233.3.5.123:5123
363,HABERTURK,1023,NO,226.0.3.136:10136,226.0.3.125:40125,233.3.5.147:5147
314,TV8-INT,1024,YES,226.0.5.107:10107,226.0.5.107:10107,233.3.5.148:5148
365,SHOWMAX,1025,NO,226.0.5.108:10108,226.0.5.108:30108,233.3.3.149:3149
318,DREAM_TURK,1030,YES,226.0.5.107:10107,226.0.5.107:10107,233.3.5.153:5153
371,KANAL_AVRUPA,1031,NO,,226.0.5.101:10101,233.3.5.154:5154
372,TELE_1,1032,NO,,226.0.5.107:10107,233.3.5.155:5155
373,SHOWTURK,1033,NO,,226.0.3.125:40125,233.3.5.156:5156
380,KANAL7-AVRUPA,1040,NO,,226.0.5.107:30107,233.3.5.164:5164
312,ARB_TV_HD,1041,YES,226.0.5.105:40105,226.0.5.105:40105,233.3.3.134:3134
313,Dunya_TV,506,YES,226.0.1.145:10145,226.0.1.145:10145,233.3.4.77:4077
310,Khazar_TV,1060,YES,226.0.1.171:10171,226.0.1.171:10171,233.3.3.199:3199
515,ARB_24_TV_HD,970,NO,,226.0.5.105:40105,233.3.5.87:5087
517,Real_TV,967,NO,,226.0.1.145:10145,233.3.5.84:5084
323,EURO_D,1109,YES,226.0.5.107:10107,226.0.5.107:10107,233.3.5.189:5189
311,Baku_TV_HD,960,YES,226.0.1.143:10143,226.0.1.143:10143,233.3.3.133:3133
309,TMB_TV_Azerbaijan,968,YES,226.0.1.143:10143,226.0.3.136:10136,233.3.5.85:5085
307,Space_TV,917,YES,226.0.1.171:10171,226.0.1.171:10171,233.3.3.83:3083
877,CBC_TV,918,NO,,226.0.1.145:10145,233.3.3.84:3084
306,M_TV_Azerbaijan,860,YES,226.0.1.171:10171,226.0.1.171:10171,233.3.3.118:3118
937,Gunesh_TV,864,NO,,226.0.5.110:20110,233.3.3.51:3051
308,Medeniyyet_TV,814,YES,226.0.1.171:10171,226.0.1.171:10171,233.3.4.39:4039
654,Black_SRT_test,444,NO,,225.0.7.200:10200,233.3.4.16:4016
656,Red_SRT_test,450,NO,,225.0.7.201:10201,233.3.4.22:4022
658,Sci-Fi_SRT_test,606,NO,,225.0.7.202:10202,233.3.4.195:4195
846,TRT_SPOR_2_YILDIZ_HD,641,NO,,226.0.5.106:20106,233.3.4.174:4174
568,Romance_TV,969,NO,226.0.1.154:10154,226.0.1.154:10154,233.3.5.86:5086
526,setanta_sport_2,481,NO,,225.0.7.156:10156,233.3.4.53:4053
527,setanta_sport_1,362,NO,,225.0.7.155:10155,233.3.3.188:3188
539,setanta_sport_3,443,NO,,225.0.7.157:10157,233.3.4.15:4015
289,TAFU_TV,550,YES,,237.7.7.17:17017,233.3.4.119:4119
972,fuel_tv,394,NO,,225.0.7.141:10141,233.3.3.214:3214
540,ESPRESO_SRT,461,NO,,225.0.7.144:10144,233.3.4.33:4033
560,TV24_SD_test,840,NO,,237.7.7.139:10139,233.3.5.72:5072
786,VLAN141-7102,786,NO,,228.141.1.71:7102,233.3.3.22:3022
856,VLAN141-7101,331,NO,,228.141.1.71:7101,233.3.3.157:3157
300,RTVI,1036,NO,,228.144.1.77:7736,233.3.5.159:5159
601,cnn_news_leveling,281,NO,,228.145.1.81:8101,233.3.3.112:3112
611,cnn_news_NO_leveling,476,NO,,228.145.1.81:8102,233.3.4.48:4048
603,TV_Pirveli_leveling,919,NO,,228.145.1.81:8103,233.3.3.85:3085
612,TV_Pirveli_NO_leveling,923,NO,,228.145.1.81:8104,233.3.3.93:3093
605,Silk_Kids_leveling,930,NO,,228.145.1.81:8105,233.3.3.109:3109
613,Silk_Kids_NO_leveling,931,NO,,228.145.1.81:8106,233.3.4.86:4086
607,mama_leveling,935,NO,,228.145.1.81:8107,233.3.4.90:4090
614,mama_NO_leveling,229,NO,,228.145.1.81:8108,233.3.3.63:3063
609,TRT_Sport_ildyz_leveling,662,NO,,228.145.1.81:8109,233.3.4.220:4220
615,TRT_Sport_ildyz_NO_leveling,210,NO,,228.145.1.81:8110,233.3.3.44:3044
685,Obieqtivi_SRT_Test,608,NO,,225.0.7.141:10141,233.3.4.133:4133
584,MMA_TV_SRT_TEST,1037,NO,,225.0.7.173:10173,233.3.5.161:5161
565,rtvi_sd,598,NO,,225.0.7.176:10176,233.3.4.165:4165
631,kto_est_kto_SRT_test,702,NO,,225.0.7.178:10178,233.3.5.26:5026
