Channel_LID_IPTV,Name,Channel_ID,Prodaction_Status,Main_Source _Multicast,Streamer_IN_Multicast,Streamer_OUT
108,Amedia_HIT,590,YES,225.0.4.73:20073,225.0.4.73:20073,233.3.4.158:4158
108,Amedia_HIT,1088,YES,225.0.4.73:20073,228.144.1.77:7714,233.3.5.168:5168
109,Kinosemya,616,YES,226.0.1.195:10195,226.0.1.195:10195,233.3.4.202:4202
109,Kinosemya,834,YES,226.0.1.195:10195,228.142.1.73:7309,233.3.4.82:4082
110,Rodnoe_Kino,699,YES,226.0.3.129:10129,226.0.3.129:10129,233.3.5.23:5023
110,Rodnoe_Kino,373,YES,226.0.3.129:10129,228.143.1.75:7540,233.3.3.198:3198
111,Mir_Seriala,697,YES,225.0.4.62:10062,225.0.4.62:10062,233.3.5.21:5021
111,Mir_Seriala,1089,YES,225.0.4.62:10062,228.144.1.77:7710,233.3.5.169:5169
112,Red,1061,YES,225.0.4.80:10080,228.142.1.73:7350,233.3.3.201:3201
112,Red,421,YES,225.0.4.80:10080,225.0.4.80:10080,233.3.3.237:3237
113,Lubimoe_Kino,1090,YES,226.0.1.170:10170,228.141.1.71:7155,233.3.5.170:5170
113,Lubimoe_Kino,337,YES,226.0.1.170:10170,226.0.1.170:10170,233.3.3.162:3162
114,Eurokino,582,YES,225.0.4.42:10042,228.142.1.73:7342,233.3.4.150:4150
114,Eurokino,345,YES,225.0.4.42:10042,225.0.4.42:10042,233.3.3.171:3171
115,Black,670,YES,225.0.4.35:10035,228.142.1.73:7351,233.3.4.228:4228
115,Black,1091,YES,225.0.4.35:10035,228.142.1.73:7351,233.3.5.171:5171
116,Viasat_1000,440,YES,226.0.3.127:10127,228.142.1.73:7330,233.3.5.3:5003
116,Viasat_1000,1092,YES,226.0.3.127:10127,228.142.1.73:7330,233.3.5.172:5172
117,TV_1000_Russian_Kino,439,YES,226.0.3.127:10127,228.142.1.73:7333,233.3.5.2:5002
117,TV_1000_Russian_Kino,1093,YES,226.0.3.127:10127,228.142.1.73:7333,233.3.5.173:5173
118,Amedia_2,687,YES,226.0.1.152:10152,228.143.1.75:7525,233.3.5.11:5011
